Month,Orchard Age,Block,Management,Seed Mix,Host Plant,Morphospecies,Count,Notes
august,15,1,unmanaged,megamix,epilobium,small black bee,2,
august,15,1,unmanaged,megamix,epilobium,syrphid,1,
august,15,1,unmanaged,annual,epilobium,small black bee,1,
august,15,2,unmanaged,annual,epilobium,small black bee,14,
august,15,2,unmanaged,perennial,achillea,true bug,1,
august,15,2,unmanaged,megamix,epilobium,small black bee,1,
august,15,2,unmanaged,megamix,epilobium,syrphid,2,
august,15,3,unmanaged,perennial,achillea,small black bee,1,
august,15,3,unmanaged,annual,epilobium,small black bee,12,
august,15,3,unmanaged,megamix,epilobium,small black bee,2,
august,15,3,unmanaged,megamix,achillea,big black bee,1,
august,15,3,unmanaged,megamix,achillea,honeybee,1,
august,15,3,unmanaged,annual,epilobium,small black bee,1,
august,60,2,unmanaged,annual,epilobium,syrphid,1,
august,60,2,unmanaged,perennial,achillea,beetle,1,
